id_piloto,id_circuito,año,cod_equipo,fecha,posicion,vueltas_finalizadas,puntos_ganados
1,1,1950,1,1950-05-13,1,70,9
2,1,1950,1,1950-05-13,2,70,6
3,1,1950,1,1950-05-13,3,70,4
4,1,1950,5,1950-05-13,4,68,3
5,1,1950,5,1950-05-13,5,68,2
6,1,1950,4,1950-05-13,6,67,0
7,1,1950,4,1950-05-13,7,67,0
8,1,1950,5,1950-05-13,8,65,0
9,1,1950,2,1950-05-13,9,64,0
10,1,1950,2,1950-05-13,10,64,0
11,1,1950,2,1950-05-13,10,64,0
12,1,1950,5,1950-05-13,11,64,0
13,1,1950,1,1950-05-13,12,62,0
14,1,1950,3,1950-05-13,13,57,0
15,1,1950,2,1950-05-13,14,49,0
16,1,1950,2,1950-05-13,15,44,0
17,1,1950,3,1950-05-13,16,43,0
18,1,1950,2,1950-05-13,17,36,0
19,1,1950,2,1950-05-13,18,26,0
20,1,1950,5,1950-05-13,19,8,0
21,1,1950,4,1950-05-13,20,5,0
22,1,1950,4,1950-05-13,20,5,0
23,1,1950,4,1950-05-13,21,2,0
1,2,1950,1,1950-05-21,11,0,0
2,2,1950,1,1950-05-21,12,0,0
5,2,1950,5,1950-05-21,13,0,0
6,2,1950,4,1950-05-21,6,94,0
7,2,1950,4,1950-05-21,17,0,0
8,2,1950,5,1950-05-21,9,38,0
12,2,1950,5,1950-05-21,7,94,0
13,2,1950,1,1950-05-21,1,100,9
15,2,1950,2,1950-05-21,5,95,2
18,2,1950,2,1950-05-21,15,0,0
19,2,1950,2,1950-05-21,3,98,4
24,2,1950,6,1950-05-21,2,99,6
25,2,1950,6,1950-05-21,4,97,3
26,2,1950,6,1950-05-21,8,63,0
27,2,1950,2,1950-05-21,10,1,0
28,2,1950,8,1950-05-21,14,0,0
29,2,1950,8,1950-05-21,16,0,0
30,2,1950,2,1950-05-21,18,0,0
31,2,1950,7,1950-05-21,19,0,0
32,2,1950,6,1950-05-21,20,0,0
33,2,1950,2,1950-05-21,21,0,0
34,3,1950,10,1950-05-30,1,138,9
35,3,1950,11,1950-05-30,2,137,6
36,3,1950,11,1950-05-30,3,137,4
37,3,1950,10,1950-05-30,4,137,3
38,3,1950,10,1950-05-30,5,136,1
39,3,1950,10,1950-05-30,5,136,1
40,3,1950,23,1950-05-30,6,136,0
41,3,1950,10,1950-05-30,7,135,0
42,3,1950,19,1950-05-30,8,135,0
43,3,1950,22,1950-05-30,9,135,0
44,3,1950,10,1950-05-30,10,135,0
