id_circuito,nombre_circuito,pais,vueltas
1,Silverstone Circuit,UK,52
2,Circuit de Monaco,Monaco,78
3,Indianapolis Motor Speedway,USA,73
4,Circuit Bremgarten,Switzerland,66
5,Circuit de Spa-Francorchamps,Belgium,44
6,Reims-Gueux,France,48
7,Autodromo Nazionale di Monza,Italy,53
8,Nürburgring,Germany,60
9,Circuit de Pedralbes,Spain,80
10,Rouen-Les-Essarts,France,60
11,Circuit Park Zandvoort,Netherlands,72
12,Autódromo Juan y Oscar Gálvez,Argentina,72
13,Aintree,UK,75
14,Pescara Circuit,Italy,18
15,Circuito da Boavista,Portugal,55
16,Ain Diab,Morocco,53
17,AVUS,Germany,60
18,Monsanto Park Circuit,Portugal,62
19,Sebring International Raceway,USA,42
20,Riverside International Raceway,USA,75
21,Watkins Glen,USA,59
22,Prince George Circuit,South Africa,85
23,Autódromo Hermanos Rodríguez,Mexico,71
24,Brands Hatch,UK,75
25,Zeltweg,Austria,105
26,Charade Circuit,France,38
27,Kyalami,South Africa,72
28,Le Mans,France,80
29,Mosport International Raceway,Canada,80
30,Jarama,Spain,80
31,Circuit Mont-Tremblant,Canada,90
32,Montjuïc,Spain,29
33,Hockenheimring,Germany,64
34,Red Bull Ring,Austria,71
35,Circuit Paul Ricard,France,53
36,Nivelles-Baulers,Belgium,85
37,Autódromo José Carlos Pace,Brazil,71
38,Zolder,Belgium,70
39,Scandinavian Raceway,Sweden,70
40,Dijon-Prenois,France,79
41,Long Beach,USA,75
42,Fuji Speedway,Japan,67
43,Autódromo Internacional Nelson Piquet,Brazil,61
44,Circuit Gilles Villeneuve,Canada,68
45,Autodromo Enzo e Dino Ferrari,Italy,63
46,Las Vegas Street Circuit,USA,75
47,Detroit Street Circuit,USA,63
48,Fair Park,USA,67
49,Autódromo do Estoril,Portugal,70
50,Adelaide Street Circuit,Australia,81
51,Circuito de Jerez,Spain,69
52,Hungaroring,Hungary,70
53,Suzuka Circuit,Japan,53
54,Phoenix street circuit,USA,81
55,Circuit de Nevers Magny-Cours,France,70
56,Circuit de Barcelona-Catalunya,Spain,66
57,Donington Park,UK,76
58,Okayama International Circuit,Japan,83
59,Albert Park Grand Prix Circuit,Australia,58
60,Sepang International Circuit,Malaysia,56
61,Bahrain International Circuit,Bahrain,57
62,Shanghai International Circuit,China,56
63,Istanbul Park,Turkey,58
64,Valencia Street Circuit,Spain,57
65,Marina Bay Street Circuit,Singapore,62
66,Yas Marina Circuit,UAE,58
67,Korean International Circuit,Korea,55
68,Buddh International Circuit,India,60
69,Circuit of the Americas,USA,56
70,Sochi Autodrom,Russia,53
71,Baku City Circuit,Azerbaijan,51
72,Autodromo Internazionale del Mugello,Italy,59
73,Autódromo Internacional do Algarve,Portugal,66
74,Losail International Circuit,Qatar,57
75,Jeddah Corniche Circuit,Saudi Arabia,50
76,Miami International Autodrome,USA,57
77,Las Vegas Strip Street Circuit,USA,50
79,Madring,Spain,57
